Item,Description,Price,Label,Serving,Recipe
Bacon and Cheddar Burger,"Bacon and Cheddar Burger, featuring a succulent beef patty topped with crispy bacon, melted cheddar cheese, lettuce, and tomato.",14.95,Main,1,"Season ground beef with salt and pepper, form into patties, and grill to desired doneness. Cook bacon until crispy. Toast burger buns and assemble with lettuce, tomato slices, cooked bacon, and melted cheddar cheese. Add condiments like mayonnaise or barbecue sauce if desired. Enjoy the savory goodness of this Bacon and Cheddar Burger!"
Mushroom cheddar Burger,"Mushroom Cheddar Burger, a savory delight featuring a beef patty topped with sautéed mushrooms, melted cheddar cheese, lettuce, and tomato.",14.95,Main,1,"Season ground beef with salt and pepper, form into patties, and grill to desired doneness. Sauté sliced mushrooms in butter until golden. Toast burger buns and assemble with lettuce, tomato slices, sautéed mushrooms, and melted cheddar cheese. Add condiments like garlic aioli for extra flavor. Enjoy this Mushroom Cheddar Burger for a gourmet twist on a classic favorite!"
Mexi Burger,"Mexi Burger, a spicy sensation featuring a beef patty seasoned with Mexican spices, topped with salsa, guacamole, and jalapeños.",13.95,Main,1,"Season ground beef with cumin, chili powder, and garlic powder, form into patties, and grill to desired doneness. Top with salsa, guacamole, sliced jalapeños, and shredded cheese. Serve on toasted burger buns. Enjoy the bold flavors and spicy kick of this Mexi Burger for a taste of Mexico in every bite!"
Whiskey BBQ Burger,"Whiskey BBQ Burger, a flavorful masterpiece featuring a beef patty glazed with whiskey-infused barbecue sauce, topped with caramelized onions.",15,Main,1,"Season ground beef with salt and pepper, form into patties, and grill to desired doneness. In a skillet, caramelize onions with a splash of whiskey. Grill the burger patties and brush with whiskey-infused barbecue sauce. Serve on toasted buns with lettuce and tomato. Enjoy the smoky sweetness of this Whiskey BBQ Burger!"
Mini Burger Sampler,"Mini Burger Sampler, a variety of bite-sized burgers featuring classic, bacon cheddar, mushroom cheddar, and Mexi flavors.",14.95,Main,1,"Prepare mini beef patties seasoned accordingly: classic with salt and pepper, bacon cheddar with crispy bacon and melted cheddar, mushroom cheddar with sautéed mushrooms and melted cheddar, and Mexi with Mexican spices. Serve on mini toasted buns with appropriate toppings. Enjoy the diverse flavors of this Mini Burger Sampler!"
Blue cheese Burger,"Chef's Special Blue Cheese Burger, a gourmet creation featuring a juicy beef patty topped with tangy blue cheese and caramelized onions.",17.2,Main/Chef's Special,2,"Season ground beef with salt and pepper, form into patties, and grill to desired doneness. Caramelize onions in a skillet. Top grilled burger patties with crumbled blue cheese and caramelized onions. Serve on toasted buns with lettuce and tomato. Indulge in the bold flavors of this Chef's Special Blue Cheese Burger!"
Chicken Breast Sandwich,"Chicken Breast Sandwich, a satisfying choice featuring grilled chicken breast served on a toasted bun with fresh toppings.",13.95,Main,1,"Marinate chicken breasts in olive oil, lemon juice, garlic, and herbs. Grill until cooked through. Toast sandwich buns and assemble with grilled chicken, lettuce, tomato, and mayonnaise. Optionally, add toppings like avocado or bacon. Serve warm for a delicious and wholesome Chicken Breast Sandwich."
Hickory Chicken Sandwich,"Hickory Chicken Sandwich, a smoky delight featuring grilled chicken breast glazed with hickory barbecue sauce, served on a toasted bun.",14.95,Main,1,"Marinate chicken breasts in hickory barbecue sauce for at least an hour. Grill until cooked through, basting with additional sauce. Toast sandwich buns and assemble with grilled chicken, lettuce, tomato, and red onion. Optionally, add a slice of cheddar cheese. Serve hot for a flavorful Hickory Chicken Sandwich."
Cali Chicken Sandwich,"Cali Chicken Sandwich, a fresh and flavorful option featuring grilled chicken breast topped with avocado, lettuce, tomato, and mayo.",13.95,Main,1,"Marinate chicken breasts in olive oil, lemon juice, and garlic. Grill until cooked through. Toast sandwich buns and assemble with grilled chicken, sliced avocado, lettuce, tomato, and mayonnaise. Optionally, add sprouts or bacon for extra flavor. Enjoy the bright and delicious Cali Chicken Sandwich, perfect for a light meal."
Fried Chicken Sandwich,"Fried Chicken Sandwich, a crispy and satisfying option featuring breaded and fried chicken breast served on a toasted bun.",14.95,Main,1,"Marinate chicken breasts in buttermilk and hot sauce. Dredge in seasoned flour and fry until golden and crispy. Toast sandwich buns and assemble with fried chicken, lettuce, tomato, and pickles. Optionally, add spicy mayo or coleslaw. Serve hot for a deliciously crunchy Fried Chicken Sandwich."
Fresh Cut Fries,"Fresh Cut Fries, crispy on the outside and fluffy on the inside, seasoned to perfection and served piping hot.",6.95,Side,1,"Wash and cut potatoes into uniform sticks. Soak in cold water to remove excess starch, then pat dry. Fry in hot oil until golden brown and crispy. Season with salt and pepper. Serve immediately for the perfect accompaniment to any meal. Enjoy the crispy goodness of homemade Fresh Cut Fries!"
Cheddar Fries,"Cheddar Fries, golden fries smothered in melted cheddar cheese and topped with crispy bacon bits and green onions.",6.95,Side,1,"Prepare Fresh Cut Fries as usual. While hot, sprinkle with shredded cheddar cheese and cooked bacon bits. Return to the oven or broiler until the cheese melts. Garnish with chopped green onions before serving. Indulge in the cheesy goodness of these irresistible Cheddar Fries!"
Atomic Cheese Fries,"Atomic Cheese Fries, crispy fries loaded with spicy cheese sauce, jalapeños, diced onions, and tangy ranch dressing.",6.95,Side,1,"Prepare Fresh Cut Fries as usual. Top with a generous amount of spicy cheese sauce made with cheddar, jalapeños, and spices. Add diced onions for an extra kick. Drizzle with ranch dressing before serving. Experience the explosive flavors of these Atomic Cheese Fries, perfect for spice enthusiasts!"
Garlic Herb Fries,"Garlic Herb Fries, crispy fries tossed in a fragrant blend of garlic, herbs, and Parmesan cheese, offering savory satisfaction.",6.95,Side,1,"Prepare Fresh Cut Fries as usual. In a bowl, mix melted butter with minced garlic, chopped herbs (such as parsley and thyme), and grated Parmesan cheese. Toss the fries in this mixture until evenly coated. Bake or fry until golden and crispy. Enjoy the aromatic delight of Garlic Herb Fries!"
Sweet Potato Fries,"Sweet Potato Fries, crispy and slightly sweet, seasoned with a hint of salt, served hot for a delightful contrast.",6.95,Side,1,"Peel and cut sweet potatoes into uniform sticks. Toss with olive oil, salt, and a pinch of cinnamon or paprika for extra flavor. Bake in a preheated oven until crispy and golden brown. Serve hot as a healthier alternative to traditional fries. Enjoy the delicious sweetness of homemade Sweet Potato Fries!"
Fried Onion Strings,"Fried Onion Strings, thin and crispy fried onion slices seasoned with a hint of spice, perfect for snacking or topping.",6.95,Side,1,"Slice onions thinly and separate into rings. Soak in buttermilk for at least 30 minutes. Dredge in seasoned flour mixture, then fry in hot oil until golden and crispy. Drain on paper towels and sprinkle with salt and pepper. Serve hot as a crunchy and addictive snack or garnish."
